hour,amount,is_new_payee,txns_last_hour,device_changed_recently,payee_risk_score,time_since_last_txn_min,label
7,270.55,0,0,0,0.2852482458556202,10.418107710334047,0
9,1348.55,0,1,0,0.19344033686405496,148.73452658648384,0
13,354.19,0,0,0,0.1665133828628763,58.29442531568509,0
18,163.52,0,0,0,0.04708507098008749,184.11891458124313,0
14,177.85,1,0,0,0.09924365023495266,228.4006514230855,0
6,3975.77,0,1,0,0.2199709709819204,65.324514873719,0
17,564.24,0,0,0,0.08464021063118111,20.679363166974003,0
23,101.74,0,1,0,0.27326730779693387,10.080202787581236,0
2,1248.93,1,3,0,0.10243665080656067,598.3626757757022,0
14,252.42,0,0,0,0.08517186993649914,30.000705357060422,0
13,61.8,0,0,0,0.22224652623819569,482.7543791932042,0
18,2898.45,0,0,0,0.17087559039147296,111.42537091304354,0
15,124.6,0,0,0,0.030264699765874557,78.01092616807703,0
10,1904.49,0,1,0,0.29148766940149917,171.531845890256,0
16,703.48,0,0,0,0.21576689985959613,239.47291885887924,0
8,392.82,0,0,1,0.32350723141371057,40.60656776502222,0
11,1117.59,1,0,0,0.10495432976170274,401.5227362548201,0
12,832.14,0,0,0,0.05906368024960644,96.30283042279865,0
14,410.88,0,0,0,0.040596991331549065,157.52537683317215,0
9,701.97,0,0,0,0.22985443400829778,23.030562114614984,0
4,720.17,0,0,0,0.08952603083668934,182.77325119064326,0
11,896.63,0,1,0,0.08520587218332412,197.8296066781575,0
13,226.7,1,1,0,0.05395727746918192,450.3139403196202,0
4,1857.6,1,0,1,0.9685335106552397,5.559978404330136,1
13,364.12,0,1,0,0.08073646955178329,145.32753864171607,0
5,2937.77,0,0,0,0.07032656174104203,165.34989686953213,0
18,1973.52,0,0,0,0.23531527272800318,4.478433895055327,0
14,134.05,0,0,0,0.1681194196332809,536.2072209218468,0
15,178.25,0,0,0,0.03342542566090151,243.93533507973234,0
14,1182.0,0,0,0,0.0486725435362447,43.71389236829129,0
18,147.74,0,0,0,0.07204709410070535,244.09112901532168,0
23,301.98,0,1,0,0.1465913672004269,89.02718073382744,0
0,4823.39,1,4,0,0.8906965029877443,17.106395751249547,1
16,247.74,0,1,0,0.22155146275618012,59.637064085462725,0
12,366.08,1,1,0,0.0317471205173541,41.860870889603525,0
5,154.27,1,0,0,0.07240341487210089,51.040464072542655,0
9,306.53,0,0,0,0.05614895396756884,110.14818059653183,0
16,448.08,0,0,0,0.023352600734059068,146.05948303077506,0
10,642.45,0,0,0,0.24759123871288358,493.88862809767755,0
11,73.19,0,0,0,0.05330484354668128,65.22751299825642,0
22,8974.44,1,5,1,0.9371887366430145,1.0624753335984867,1
14,160.42,0,0,1,0.2124264843872943,41.226621934150856,0
7,229.91,0,0,0,0.04045942248768487,30.60086691392043,0
14,1470.46,0,0,0,0.08841507334874173,122.55480126339518,0
7,252.53,0,0,0,0.0972553113806815,39.14478216460677,0
0,1857.6,1,5,1,0.6636888726312159,13.957821470390535,1
14,1445.36,0,0,0,0.2380372291890208,352.9783415022706,0
0,4823.39,1,2,1,0.9383523400430595,5.3603192352961475,1
19,2046.79,0,0,0,0.02145215407104853,109.4323760023047,0
2,1857.6,0,2,0,0.7934427547995655,0.5111237787115127,1
6,4305.42,0,0,0,0.07440891908063517,444.2364705576327,0
10,998.96,0,0,0,0.280461321119506,1.0,0
15,1719.54,0,0,0,0.05779327687712432,118.24115300478205,0
11,535.47,0,0,0,0.18951845108331142,409.09741006833264,0
12,415.67,0,1,0,0.08186541602004119,251.3145216386434,0
19,604.44,0,0,0,0.0410240498588837,166.97948807203954,0
10,262.09,0,0,0,0.1579536469117079,100.86195939719822,0
9,627.14,0,0,0,0.23796338978006387,54.23983679130722,0
14,1270.05,0,0,0,0.5444462045643161,44.386996784045486,0
11,159.43,0,0,0,0.17269317168280895,107.2526812633554,0
15,872.52,1,0,0,0.1463592508763932,65.79287788032589,0
23,941.86,0,0,0,0.2185056364981639,709.5274776970696,0
23,1241.56,0,4,0,0.011330351314495621,24.04587366471772,0
12,252.73,0,1,0,0.014417720252484181,352.3763546963818,0
11,703.47,0,0,0,0.1384967495845517,590.6541033018826,0
17,159.48,0,0,0,0.08616530974253661,229.23602516150922,0
13,191.0,0,1,0,0.03630248068449363,107.90449269027945,0
15,256.18,0,0,0,0.010961493984160998,54.21111553584602,0
10,391.41,0,0,0,0.03237940704278773,136.3425758976396,0
13,142.0,0,0,0,0.13900093841856245,49.8661523824442,0
20,1340.17,0,0,0,0.11336360713941632,182.4825438854583,0
15,1011.48,0,1,1,0.2340839639430009,354.4046986021484,0
13,386.6,0,0,0,0.09713970387495546,22.19092692282064,0
22,4823.39,1,2,1,0.9192658760842224,6.245662186511951,1
10,1006.98,0,0,0,0.2592834719367585,80.47205179296678,0
17,877.17,0,0,0,0.10139916574050198,282.32769382985657,0
10,277.62,0,0,0,0.23203691895355638,235.43804320011273,0
18,179.65,0,0,0,0.027373578262044937,3.5829203370940785,0
16,104.36,0,0,0,0.0017709520956673045,54.55533755515727,0
21,46.21,0,0,0,0.11381677508019533,154.50933791734482,0
12,880.46,0,0,0,0.16302628542329697,217.68984460237502,0
6,70.03,0,1,0,0.23844319479909487,37.35522885680922,0
10,329.38,0,0,0,0.08709502656026362,52.3520496931763,0
17,410.71,0,0,0,0.14274145888597203,48.100237401408805,0
17,1214.59,1,0,1,0.11030245695049848,243.2407474514337,0
14,1404.93,0,1,0,0.002415155340912619,119.18018997730246,0
14,1438.97,0,0,0,0.06627459491086078,9.137036612040616,0
6,182.98,0,0,0,0.20358196690956745,613.0406146363468,0
13,790.59,1,0,0,0.4645586734721737,21.65948014784451,0
21,183.63,0,0,0,0.2972159104720653,30.61103697288642,0
15,176.55,0,0,1,0.300542870144124,59.796300472068296,0
16,154.91,0,0,0,0.3328805339116961,28.21730792932818,0
16,323.56,0,2,0,0.1389468899172175,132.77827686392953,0
14,209.83,0,0,0,0.006937928449439771,108.134775234715,0
10,312.33,0,0,0,0.2837160818210103,627.8593359503485,0
14,345.75,0,0,0,0.2463021302769481,36.97211697129352,0
11,1085.39,0,2,0,0.038890016378703984,211.03971916762526,0
10,284.94,0,0,0,0.0844030460632432,109.66697875840853,0
19,203.08,1,0,0,0.1303474124481044,33.21972484109741,0
3,1649.67,0,0,0,0.14839609678825608,19.90068792494958,0
11,134.15,0,1,0,0.03488460404541971,225.9978699370492,0
14,1254.15,0,0,0,0.5412716910991074,6.1611208069321135,0
11,546.64,0,0,0,0.10134935117920481,27.839342187858485,0
21,549.0,0,0,0,0.1737361875856104,17.219343334712892,0
13,789.57,0,0,0,0.07005017373773292,97.03275618864218,0
0,214.44,0,1,0,0.1446450573760524,398.1333815390953,0
16,330.66,1,0,0,0.2483576367524909,645.3258232840473,0
17,979.68,0,0,0,0.18266354044496197,18.18596836005744,0
16,235.68,0,0,0,0.1594247564927596,169.20714784769552,0
18,106.74,0,0,0,0.01551722819520638,18.372033339365014,0
15,699.41,0,0,0,0.1986405926281717,307.08550445611877,0
18,540.16,0,0,0,0.2761445234465527,217.45321839337694,0
16,212.21,0,0,0,0.24371815463185498,97.09663974569806,0
